name,ring,quadrant,isNew,description,MoH_Used
Cobol,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>COBOL is a compiled English-like computer programming language designed for business use</p>,y
EJB3,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>Jakarta Enterprise Beans (EJB; formerly Enterprise JavaBeans) is one of several Java APIs for modular construction of enterprise software. EJB is a server-side software component that encapsulates business logic of an application</p>,y
Initiate,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>IBM Initiate is a enterprise master patient index, which ensures patient data is correct and consistent throughout the organization regardless of which system is being updated</p>",y
Moodle,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>Moodle is a free and open-source learning management system written in PHP and distributed under the GNU General Public License.</p>,y
Perl,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Perl is a high-level, general-purpose, interpreted, dynamic programming language.</p>",y
React.JS,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>React is a free and open-source front-end JavaScript library for building user interfaces or UI components. It is maintained by Facebook and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications.</p>,y
Salesforce,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p> Salesforce provides customer relationship management service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.</p>",y
SAS,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>SAS is a statistical software suite developed by SAS Institute for data management, advanced analytics, multivariate analysis, business intelligence, criminal investigation, and predictive analytics</p>",y
MinIO,Explore,"Development, Test and Release Tools",TRUE,"<p>MinIO is a cloud native storage server compatible with the S3 protocol, released under Apache License v2. IIT uses Minio as an abstraction layer between applications and underlying storage services such as the Dell ECS Object Storage.</P>",y
SonarQube,Explore,"Development, Test and Release Tools",TRUE,"<p>SonarQube is an open-source platform for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities. IIT uses Sonarqube for code quality checking as part of the build process for container based applications.</P>",y
Azure Web Services,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Microsoft Azure, formerly known as Windows Azure, is Microsoft's public cloud computing platform. It provides a range of cloud services, including those for compute, analytics, storage and networking. IIT is currently evaluating several public cloud services, including Microsoft Azure. OCIO has also provisioned Azure on premise appliances for DBaaS workloads and select Azure Cloud services.</p>",y
IBM Cloud,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>IBM Cloud is a public cloud computing platform offered by IBM, providing compute, managed services, container and API platforms and more. IIT is currently evaluating several public cloud services, including IBM Cloud.</p>",y
Quarkus,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Quarkus is a full-stack, Kubernetes-native Java framework made for Java virtual machines (JVMs) and native compilation, optimizing Java specifically for containers and enabling it to become an effective platform for serverless, cloud, and Kubernetes environments. IIT exploring use cases including in conjunction with GraalVM. Improve IIT context wording.</P>",y
AWS Cloud Development Kit,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>Many of our teams who are already on AWS have found <strong><a href=""https://docs.aws.amazon.com/cdk/latest/guide/home.html"">AWS Cloud Development Kit</a></strong> (AWS CDK) to be a sensible AWS default for enabling infrastructure provisioning. In particular, they like the use of first-class programming languages instead of configuration files which allows them to use existing tools, test approaches and skills. Like similar tools, care is still needed to ensure deployments remain easy to understand and maintain. The development kit currently supports <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a>, JavaScript, Python, Java, C# and .NET. New providers are being added to the CDK core. We've also used both AWS Cloud Development Kit and HashiCorp's <a href=""https://learn.hashicorp.com/tutorials/terraform/cdktf"">Cloud Development Kit for Terraform</a> to generate Terraform configurations and enable provisioning with the Terraform platform with success.</p>",y
Delta Lake,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p><strong><a href=""https://delta.io/"">Delta Lake</a></strong> is an <a href=""https://github.com/delta-io/delta"">open-source storage layer</a>, implemented by Databricks, that attempts to bring ACID transactions to big data processing. In our Databricks-enabled <a href=""/radar/techniques/data-lake"">data lake</a> or <a href=""/radar/techniques/data-mesh"">data mesh</a> projects, our teams continue to prefer using Delta Lake storage over the direct use of file storage types such <a href=""https://aws.amazon.com/s3/"">S3</a> or <a href=""https://azure.microsoft.com/en-au/services/storage/data-lake-storage/"">ADLS</a>. Of course this is limited to projects that use storage platforms that support <a href=""https://docs.delta.io/latest/delta-storage.html"">Delta Lake</a> when using <a href=""https://parquet.apache.org/"">Parquet</a> file formats. Delta Lake facilitates concurrent data read/write use cases where file-level transactionality is required. We find Delta Lake's seamless integration with Apache Spark <a href=""https://docs.databricks.com/delta/delta-batch.html"">batch</a> and <a href=""https://docs.databricks.com/delta/delta-streaming.html"">micro-batch</a> APIs greatly helpful, particularly features such as <a href=""https://databricks.com/blog/2019/02/04/introducing-delta-time-travel-for-large-scale-data-lakes.html"">time travel</a> — accessing data at a particular point in time or commit reversion — as well as <a href=""https://databricks.com/blog/2019/09/24/diving-into-delta-lake-schema-enforcement-evolution.html"">schema evolution</a> support on write; though there are some limitations on these features.</p>",y
Snowflake,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>Since we last mentioned <strong><a href=""https://www.snowflake.com/"">Snowflake</a></strong> in the Radar, we've gained more experience with it as well as with <a href=""/radar/techniques/data-mesh"">data mesh</a> as an alternative to data warehouses and lakes. Snowflake continues to impress with features like time travel, zero-copy cloning, data sharing and its marketplace. We also haven't found anything we don't like about it, all of which has led to our consultants generally preferring it over the alternatives. Redshift is moving toward storage and compute separation, which has been a strong point of Snowflake, but even with Redshift Spectrum it isn't as convenient and flexible to use, partly because it is bound by its Postgres heritage (we do still like <a href=""/radar/platforms/postgresql-for-nosql"">Postgres</a>, by the way). Federated queries can be a reason to go with Redshift. When it comes to operations, Snowflake is much simpler to run. <a href=""/radar/platforms/bigquery"">BigQuery</a>, which is another alternative, is very easy to operate, but in a multicloud setup Snowflake is a better choice. We can also report that we've used Snowflake successfully with <a href=""/radar/platforms/google-cloud-platform"">GCP</a>, <a href=""/radar/platforms/aws"">AWS</a>, and <a href=""/radar/platforms/azure"">Azure</a>.</p>",y
Apache Pinot,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://pinot.apache.org/"">Apache Pinot</a></strong> is a distributed OLAP data store, built to deliver real-time analytics with low latency. It can ingest from batch data sources (such as Hadoop HDFS, Amazon S3, Azure ADLS or Google Cloud Storage) as well as stream data sources (such as Apache Kafka). If the need is user-facing, low-latency analytics, SQL-on-Hadoop solutions don't offer the low latency that is needed. Modern OLAP engines like Apache Pinot (or <a href=""https://druid.apache.org/"">Apache Druid</a> and <a href=""https://clickhouse.tech/"">Clickhouse</a> among others) can achieve much lower latency and are particularly suited in contexts where fast analytics, such as aggregations, are needed on immutable data, possibly, with real-time data ingestion. Originally built by LinkedIn, Apache Pinot entered Apache incubation in late 2018 and has since added a plugin architecture and SQL support among other key capabilities. Apache Pinot can be fairly complex to operate and has many moving parts, but if your data volumes are large enough and you need low-latency query capability, we recommend you assess Apache Pinot.</p>",y
DataHub,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Since we first mentioned <a href=""/radar/techniques/data-discoverability"">data discoverability</a> in the Radar, LinkedIn has evolved <a href=""https://engineering.linkedin.com/blog/2016/03/open-sourcing-wherehows--a-data-discovery-and-lineage-portal"">WhereHows</a> to <strong><a href=""https://github.com/linkedin/datahub"">DataHub</a></strong>, the next generation platform that addresses data discoverability via an extensible metadata system. Instead of crawling and pulling metadata, DataHub adopts a push-based model where individual components of the data ecosystem publish metadata via an API or a stream to the central platform. This push-based integration shifts the ownership from the central entity to individual teams making them accountable for their metadata. As more and more companies are trying to become data driven, having a system that helps with data discovery and understanding data quality and lineage is critical, and we recommend you assess DataHub in that capacity.</p>",y
JuiceFS,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://github.com/juicedata/juicefs"">JuiceFS</a></strong> is an open-source, distributed POSIX file system built on top of <a href=""https://www.thoughtworks.com/radar/platforms/redis"">Redis</a> and an object store service (for example, Amazon S3). If you're building new applications, then our recommendation has always been to interact directly with the object store without going through another abstraction layer. However, JuiceFS can be an option if you're migrating legacy applications that depend on traditional POSIX file systems to the cloud.</p>",y
NATS,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><a href=""https://nats.io/about/""><strong>NATS</strong></a> is a fast, secure message queueing system with an unusually wide range of features and potential deployment targets. At first glance, you would be forgiven for asking why the world needs another message queueing system. Message queues have been around in various forms for nearly as long as businesses have been using computers and have undergone years of refinement and optimization for various tasks. But NATS has several interesting characteristics and is unique in its ability to scale from embedded controllers to global, cloud-hosted superclusters. We're particularly intrigued by NATS's intent to support a continuous streaming flow of data from mobile devices and IoT and through a network of interconnected systems. However, some tricky issues need to be addressed, not the least of which is ensuring consumers see only the messages and topics to which they're allowed access, especially when the network spans organizational boundaries. NATS 2.0 introduced a security and access control framework that supports multitenant clusters where accounts restrict a user's access to queues and topics. Written in Go, NATS has primarily been embraced by the Go language community. Although clients exist for pretty much all widely used programming languages, the Go client is by far the most popular. However, some of our developers have found that all the language client libraries tend to reflect the Go origins of codebase. Increasing bandwidth and processing power on small, wireless devices means that the volume of data businesses must consume in real time will only increase. Assess NATS as a possible platform for streaming that data within and among businesses.</p>",y
Pulumi,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>We've seen interest in <strong><a href=""https://pulumi.io/"">Pulumi</a></strong> slowly but steadily rising. Pulumi fills a gaping hole in the infrastructure coding world where <a href=""/radar/tools/terraform"">Terraform</a> maintains a firm hold. While Terraform is a tried-and-true standby, its declarative nature suffers from inadequate abstraction facilities and limited testability. Terraform is adequate when the infrastructure is entirely static, but dynamic infrastructure definitions call for a real programming language. Pulumi distinguishes itself by allowing configurations to be written in <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a>/JavaScript, <a href=""/radar/languages-and-frameworks/python-3"">Python</a> and <a href=""/radar/languages-and-frameworks/go-language"">Go</a> — no markup language or templating required. Pulumi is tightly focused on cloud-native architectures — including containers, serverless functions and data services — and provides good support for <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. Recently, <a href=""/radar/platforms/aws-cloud-development-kit"">AWS CDK</a> has mounted a challenge, but Pulumi remains the only cloud-neutral tool in this area. We're anticipating wider Pulumi adoption in the future and looking forward to a viable tool and knowledge ecosystem emerging to support it.</p>",y
axe-core,Explore,"Development, Test and Release Tools",TRUE,"<p>Making the web inclusive requires serious attention to ensure accessibility is considered <em>and</em> validated at all stages of software delivery. Many of the popular accessibility testing tools are designed for testing after a web application is complete; as a result, issues are detected late and often are harder to fix, accumulating as debt. In our recent internal work on ThoughtWorks websites, we included the open-source accessibility (a11y) testing engine <strong><a href=""https://github.com/dequelabs/axe-core"">axe-core</a></strong> as part of our build processes. It provided team members with early feedback on adherence to accessibility rules, even during early increments. Not every issue can be found through automated inspection, though. Extending the functionality of axe-core is the commercially available <a href=""https://www.deque.com/axe/devtools/"">axe DevTools</a>, including functionality that guides team members through exploratory testing for a majority of accessibility issues.</p>",y
esbuild,Explore,"Development, Test and Release Tools",TRUE,"<p>We've always been keen to find tools that can shorten the software development feedback cycle; <strong><a href=""https://github.com/evanw/esbuild"">esbuild</a></strong> is such an example. As the front-end codebase grows larger, we usually face a packaging time of minutes. As a JavaScript bundler optimized for speed, esbuild can reduce this time by a factor of 10 to 100. It is written in Golang and uses a more efficient approach in the process of parsing, printing and source map generation which significantly surpasses build tools such as <a href=""/radar/tools/webpack"">Webpack</a> and <a href=""/radar/tools/parcel"">Parcel</a> in building time. esbuild may not be as comprehensive as those tools in JavaScript syntax transformation; however, this doesn't stop many of our teams from switching to esbuild as their default.</p>",y
Great Expectations,Explore,"Development, Test and Release Tools",FALSE,"<p>We wrote about <strong><a href=""https://docs.greatexpectations.io/en/latest/"">Great Expectations</a></strong> in the previous edition of the Radar. We continue to like it and have moved it to Trial in this edition. Great Expectations is a framework that enables you to craft built-in controls that flag anomalies or quality issues in data pipelines. Just as unit tests run in a build pipeline, Great Expectations makes assertions during execution of a data pipeline. We like its simplicity and ease of use — the rules stored in JSON can be modified by our data domain experts without necessarily needing data engineering skills.</p>",y
MLflow,Explore,"Development, Test and Release Tools",FALSE,"<p><strong><a href=""https://mlflow.org/"">MLflow</a></strong> is an open-source tool for <a href=""/radar/tools/experiment-tracking-tools-for-machine-learning"">machine-learning experiment tracking</a> and lifecycle management. The workflow to develop and continuously evolve a machine-learning model includes a series of experiments (a collection of runs), tracking the performance of these experiments (a collection of metrics) and tracking and tweaking models (projects). MLflow facilitates this workflow nicely by supporting existing open standards and integrates well with many other tools in the ecosystem. <a href=""https://databricks.com/product/managed-mlflow"">MLflow as a managed service by Databricks</a> on the cloud, available in <a href=""/radar/platforms/aws"">AWS</a> and <a href=""/radar/platforms/azure"">Azure</a>, is rapidly maturing, and we've used it successfully in our projects. We find MLflow a great tool for model management and tracking, supporting both UI-based and API-based interaction models. Our only growing concern is that MLflow is attempting to deliver too many conflating concerns as a single platform, such as model serving and scoring.</p>",y
Playwright,Explore,"Development, Test and Release Tools",FALSE,"<p><strong><a href=""https://playwright.dev/"">Playwright</a></strong> allows you to write Web UI tests for Chromium and Firefox as well as WebKit, all through the same API. The tool has gained some attention for its support of all the major browser engines which it achieves by including patched versions of Firefox and Webkit. We continue to hear positive experience reports with Playwright, in particular its stability. Teams have also found it easy to migrate from <a href=""/radar/languages-and-frameworks/puppeteer"">Puppeteer</a>, which has a very similar API.</p>",y
Pyright,Explore,"Development, Test and Release Tools",TRUE,"<p>While <a href=""https://en.wikipedia.org/wiki/Duck_typing"">duck typing</a> is certainly seen as a feature by many Python programmers, sometimes — especially for larger codebases — type checking can be useful, too. For that reason a number of type annotations are proposed as Python Enhancement Proposals (PEPs), and <strong><a href=""https://github.com/Microsoft/pyright"">Pyright</a></strong> is a type checker that works with these annotations. In addition, it provides some type inference and guards that understand conditional code flow constructs. Designed with large codebases in mind, Pyright is fast, and its watch mode checks happen incrementally as files are changed to further shorten the feedback cycle. Pyright can be used directly on the command line, but integrations for VS Code, Emacs, vim, Sublime, and possibly other editors are available, too. In our experience, Pyright is preferable to alternatives like mypy.</p>",y
Terratest,Explore,"Development, Test and Release Tools",FALSE,"<p><strong><a href=""https://github.com/gruntwork-io/terratest"">Terratest</a></strong> caught our attention in the past as an interesting option for infrastructure testing. Since then, our teams have been using it, and they're very excited about it because of its stability and the experience it provides. Terratest is a Golang library that makes it easier to write automated tests for infrastructure code. Using infrastructure-as-code tools such as <a href=""/radar/tools/terraform"">Terraform</a>, you can create real infrastructure components (such as servers, firewalls, or load balancers) to deploy applications on them and then validate the expected behavior using Terratest. At the end of the test, Terratest can undeploy the apps and clean up resources. This makes it largely useful for end-to-end tests of your infrastructure in a real environment.</p>",y
Why Did You Render,Explore,"Development, Test and Release Tools",TRUE,"<p>When working with <a href=""/radar/languages-and-frameworks/react-js"">React</a>, we often encounter situations where our page is very slow because some components are re-rendering when they shouldn't be. <strong><a href=""https://github.com/welldone-software/why-did-you-render"">Why Did You Render</a></strong> is a library that helps detect why a component is re-rendering. It does this by monkey patching React. We've used it in a few of our projects to debug performance issues with great effect.</p>",y
GitHub Actions,Explore,"Development, Test and Release Tools",TRUE,"<p>CI servers and build tools are some of the oldest and most widely used in our kit. They run the gamut from simple cloud-hosted services to complex, code-defined pipeline servers that support fleets of build machines. Given our experience and the wide range of options already available, we were initially skeptical when <strong><a href=""https://docs.github.com/en/actions"">GitHub Actions</a></strong> were introduced as another mechanism to manage the build and integration workflow. But the opportunity for developers to start small and easily customize behavior means that GitHub Actions are moving toward the default category for smaller projects. It's hard to argue with the convenience of having the build tool integrated directly into the source code repository. An enthusiastic community has emerged around this feature and that means a wide range of user-contributed tools and workflows are available to get started. Tools vendors are also getting on board via the <a href=""https://github.com/marketplace?type=actions"">GitHub Marketplace</a>. However, we still recommend you proceed with caution. Although code and <a href=""/radar/tools/git"">Git</a> history can be exported into alternative hosts, a development workflow based on GitHub Actions can't. Also, use your best judgment to determine when a project is large or complex enough to warrant an independently supported pipeline tool. But for getting up and running quickly on smaller projects, it's worth considering GitHub Actions and the ecosystem that is growing around them.</p>",y
HashiCorp Boundary,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://www.boundaryproject.io/"">HashiCorp Boundary</a></strong> combines the secure networking and identity management capabilities needed for brokering access to your hosts and services in one place and across a mix of cloud and on-premise resources if needed. Key management can be done by integrating the key management service of your choice, be it from a cloud vendor or something like <a href=""/radar/tools/hashicorp-vault"">HashiCorp Vault</a>. HashiCorp Boundary supports a growing number of identity providers and can be integrated with parts of your service landscape to help define permissions, not just on host but also on a service level. For example, it enables you to control fine-grained access to a Kubernetes cluster, and dynamically pulling in service catalogs from various sources is on the roadmap. All of this stays out of the way of the engineering end users who get the shell experience they're used to, securely connected through Boundary's network management layer.</p>",y
Longhorn,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://longhorn.io/"">Longhorn</a></strong> is a distributed block storage system for <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. There are many <a href=""https://kubernetes-csi.github.io/docs/drivers.html"">persistent storage options</a> for Kubernetes; unlike most, however, Longhorn is built from the ground up to provide incremental snapshots and backups, thereby easing the pain of running a replicated storage for non–cloud-hosted Kubernetes. With the recent <a href=""https://longhorn.io/blog/longhorn-v1.1.0/"">experimental support for ReadWriteMany (RWX)</a> you can even mount the same volume for read and write access across many nodes. Choosing the right storage system for Kubernetes is a nontrivial task, and we recommend you assess Longhorn based on your needs.</p>",y
Recommender,Explore,"Development, Test and Release Tools",TRUE,"<p>The number of services offered by the big cloud providers keeps growing, but so does the convenience and maturity of tools that help you use them securely and efficiently. <a href=""https://cloud.google.com/recommender""><strong>Recommender</strong></a> is a service on Google Cloud that analyzes your resources and gives you recommendations on how to optimize them based on your actual usage. The service consists of a range of ""recommenders"" in areas such as security, compute usage or cost savings. For example, the <a href=""https://cloud.google.com/iam/docs/role-recommendations"">IAM Recommender</a> helps you better implement the principle of least privilege by pointing out permissions that are never actually used and therefore are potentially too broad.</p>",y
Spectral,Explore,"Development, Test and Release Tools",TRUE,"<p>One of the patterns we've seen repeat itself in this publication is that static error- and style-checking tools emerge quickly after a new language gains popularity. These tools are generically known as linters — after the classic and beloved Unix utility <em>lint</em>, which statically analyzes C code. We like these tools because they catch errors early, before code even gets compiled. The latest instance of this pattern is <strong><a href=""https://stoplight.io/open-source/spectral/"">Spectral</a></strong>, a linter for YAML and JSON. Although Spectral is a generic tool for these formats, its main target is OpenAPI (the evolution of <a href=""/radar/tools/swagger"">Swagger</a>) and <a href=""/radar/tools/asyncapi"">AsyncAPI</a>. Spectral ships with a comprehensive set of out-of-the-box rules for these specs that can save developers headaches when designing and implementing APIs or event-driven collaboration. These rules check for proper API parameter specifications or the existence of a license statement in the spec, among other things. While this tool is a welcome addition to the API development workflow, it does raise the question of whether a non-executable specification should be so complex as to require an error-checking technique designed for programming languages. Perhaps developers should be writing code instead of specs?</p>",y
Zally,Explore,"Development, Test and Release Tools",TRUE,"<p>As the API specification ecosystem matures, we're seeing more tools built to automate style checks. <strong><a href=""https://github.com/zalando/zally"">Zally</a></strong> is a minimalist OpenAPI linter that helps to ensure an API conforms to the team's API style guide. Out of the box, it will validate against a rule set developed for <a href=""https://opensource.zalando.com/restful-api-guidelines/"">Zalando's API style guide</a>, but it also supports a Kotlin extension mechanism to develop custom rules. Zally includes a web UI that provides an intuitive interface for understanding style violations and includes a CLI that makes it easy to plug into your CD pipeline.</p>",y
AWS Data Wrangler,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://github.com/awslabs/aws-data-wrangler"">AWS Data Wrangler</a></strong> is an open-source library that extends the capabilities of <a href=""https://github.com/pandas-dev/pandas"">Pandas</a> to AWS by connecting data frames to AWS data-related services. In addition to Pandas, this library leverages <a href=""https://github.com/apache/arrow"">Apache Arrow</a> and <a href=""https://github.com/boto/boto3"">Boto3</a> to expose <a href=""https://aws-data-wrangler.readthedocs.io/en/2.5.0/api.html"">several APIs</a> to load, transform and save data from data lakes and data warehouses. An important limitation is that you can't do large distributed data pipelines with this library. However, you can leverage the native data services — like Athena, Redshift and Timestream — to do the heavy lifting and pull data in order to express complex transformations that are well suited for data frames. We've used AWS Data Wrangler in production and like that it lets you focus on writing transformations without spending too much time on the connectivity to AWS data services.</p>",y
FastAPI,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>We're seeing more teams adopting Python as the preferred language to build solutions, not just for data science but for back-end services too. In these scenarios, we're having good experiences with <strong><a href=""https://fastapi.tiangolo.com/"">FastAPI</a></strong> — a modern, fast (high-performance), web framework for building APIs with Python 3.6 or later. Additionally, this framework and its ecosystem include features such as API documentation using OpenAPI that allow our teams to focus on the business functionalities and quickly create REST APIs, which makes FastAPI a good alternative to existing solutions in this space.</p>",y
